
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. SF2_MSS_sys, 601, 525, 438, 0, 0, 0, 3, 2, 27
.	. SF2_MSS_sys_sb, 601, 525, 438, 0, 0, 0, 3, 2, 0
.	.	. CoreAPB3, 0, 65, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAPB3_MUXPTOB3, 0, 61, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreGPIO, 45, 45, 0, 0, 0, 0, 1, 0, 0
.	.	. CoreResetP, 9, 2, 0, 0, 0, 0, 0, 1, 0
.	.	. SF2_MSS_sys_sb_CCC_0_FCCC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. SF2_MSS_sys_sb_CoreUARTapb_0_CoreUARTapb, 170, 247, 19, 0, 0, 0, 2, 0, 0
.	.	.	. SF2_MSS_sys_sb_CoreUARTapb_0_COREUART, 146, 212, 19, 0, 0, 0, 2, 0, 0
.	.	.	.	. SF2_MSS_sys_sb_CoreUARTapb_0_Clock_gen, 19, 10, 14, 0, 0, 0, 0, 0, 0
.	.	.	.	. SF2_MSS_sys_sb_CoreUARTapb_0_Rx_async, 39, 77, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. SF2_MSS_sys_sb_CoreUARTapb_0_Tx_async, 23, 23, 5, 0, 0, 0, 0, 0, 0
.	.	.	.	. SF2_MSS_sys_sb_CoreUARTapb_0_fifo_256x8, 21, 20, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	.	. SF2_MSS_sys_sb_CoreUARTapb_0_fifo_ctrl_256, 21, 20, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	. SF2_MSS_sys_sb_CoreUARTapb_0_ram16x8, 0, 1, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	. SF2_MSS_sys_sb_CoreUARTapb_0_fifo_256x8_0, 21, 20, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	.	. SF2_MSS_sys_sb_CoreUARTapb_0_fifo_ctrl_256_0, 21, 20, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	. SF2_MSS_sys_sb_CoreUARTapb_0_ram16x8_0, 0, 1, 0, 0, 0, 0, 1, 0, 0
.	.	. SF2_MSS_sys_sb_FABOSC_0_OSC, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. SF2_MSS_sys_sb_MSS, 0, 10, 0, 0, 0, 0, 0, 0, 0
.	.	. corepwm, 377, 156, 419, 0, 0, 0, 0, 0, 0
.	.	.	. corepwm_pwm_gen, 8, 24, 192, 0, 0, 0, 0, 0, 0
.	.	.	. corepwm_reg_if, 329, 129, 153, 0, 0, 0, 0, 0, 0
.	.	.	. corepwm_timebase, 32, 1, 74, 0, 0, 0, 0, 0, 0
