
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. SF2_MSS_sys, 375, 457, 157, 0, 0, 0, 1, 2, 34
.	. SF2_MSS_sys_sb, 375, 457, 157, 0, 0, 0, 1, 2, 0
.	.	. CoreAPB3, 0, 30, 2, 0, 0, 0, 0, 0, 0
.	.	.	. COREAPB3_MUXPTOB3, 0, 26, 2, 0, 0, 0, 0, 0, 0
.	.	. CoreGPIO, 120, 215, 0, 0, 0, 0, 1, 0, 0
.	.	. CoreResetP, 9, 2, 0, 0, 0, 0, 0, 1, 0
.	.	. SF2_MSS_sys_sb_CCC_0_FCCC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. SF2_MSS_sys_sb_CoreUARTapb_0_CoreUARTapb, 114, 140, 19, 0, 0, 0, 0, 0, 0
.	.	.	. SF2_MSS_sys_sb_CoreUARTapb_0_COREUART, 90, 113, 19, 0, 0, 0, 0, 0, 0
.	.	.	.	. SF2_MSS_sys_sb_CoreUARTapb_0_Clock_gen, 19, 10, 14, 0, 0, 0, 0, 0, 0
.	.	.	.	. SF2_MSS_sys_sb_CoreUARTapb_0_Rx_async, 41, 75, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. SF2_MSS_sys_sb_CoreUARTapb_0_Tx_async, 21, 23, 5, 0, 0, 0, 0, 0, 0
.	.	. SF2_MSS_sys_sb_FABOSC_0_OSC, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. SF2_MSS_sys_sb_MSS, 0, 44, 0, 0, 0, 0, 0, 0, 0
.	.	. corepwm, 132, 26, 136, 0, 0, 0, 0, 0, 0
.	.	.	. corepwm_pwm_gen, 1, 3, 24, 0, 0, 0, 0, 0, 0
.	.	.	. corepwm_reg_if, 98, 20, 38, 0, 0, 0, 0, 0, 0
.	.	.	. corepwm_timebase, 32, 1, 74, 0, 0, 0, 0, 0, 0
